doi,year,genre,is_oa,title,doi_url,updated,publisher,z_authors,journal_name
10.1001/jama.1963.03700020123084,1963,journal-article,False,Forceful Ureteral Spurt: A Common Roentgen M anifestation of Urinary Tract Infection in Children,https://doi.org/10.1001/jama.1963.03700020123084,2018-06-19T10:05:05.030991,American Medical Association (AMA),,JAMA
10.1001/jama.1964.03070250066038,1964,journal-article,False,Questions and Answers,https://doi.org/10.1001/jama.1964.03070250066038,2018-06-19T03:18:28.182897,American Medical Association (AMA),,JAMA
10.1001/jama.1965.03080140073036,1965,journal-article,False,Respiration. Vol I,https://doi.org/10.1001/jama.1965.03080140073036,2018-06-19T10:04:50.063990,American Medical Association (AMA),"[{'given': 'David W.', 'family': 'Cugell'}]",JAMA: The Journal of the American Medical Association
10.1001/jama.1968.03140210035008,1968,journal-article,False,Semester Hours,https://doi.org/10.1001/jama.1968.03140210035008,2018-06-19T10:06:49.835449,American Medical Association (AMA),,JAMA: The Journal of the American Medical Association
10.1001/jama.1969.03160100099030,1969,journal-article,False,The Lucky Rat,https://doi.org/10.1001/jama.1969.03160100099030,2018-06-20T21:22:05.282588,American Medical Association (AMA),"[{'given': 'Don T.', 'family': 'Killderatt'}]",JAMA: The Journal of the American Medical Association
10.1001/jama.1972.03200030063018,1972,journal-article,False,Role of Chemotherapy,https://doi.org/10.1001/jama.1972.03200030063018,2018-07-25T03:20:47.524335,American Medical Association (AMA),"[{'given': 'D. F. N.', 'family': 'Harrison'}]",JAMA: The Journal of the American Medical Association
10.1001/jama.1983.03340220008005,1983,journal-article,False,Corrections,https://doi.org/10.1001/jama.1983.03340220008005,2018-06-18T23:23:44.147588,American Medical Association (AMA),,JAMA: The Journal of the American Medical Association
10.1001/jama.1991.03470220042015,1991,journal-article,False,Low-Dose Aspirin to Prevent Pregnancy-Induced Hypertensive Disease,https://doi.org/10.1001/jama.1991.03470220042015,2018-06-19T10:05:21.238589,American Medical Association (AMA),"[{'given': 'Franz', 'family': 'Rosa'}]",JAMA: The Journal of the American Medical Association
10.1001/jama.208.5.856,1969,journal-article,False,CNS abnormalities after hyperbilirubinemia,https://doi.org/10.1001/jama.208.5.856,2018-06-19T10:05:05.044557,American Medical Association (AMA),,JAMA: The Journal of the American Medical Association
10.1001/jama.218.8.1302b,1971,journal-article,False,Privileged communication after death,https://doi.org/10.1001/jama.218.8.1302b,2018-06-19T10:04:50.071884,American Medical Association (AMA),"[{'given': 'J. E.', 'family': 'Lifschutz'}]",JAMA: The Journal of the American Medical Association
10.1001/jama.222.4.488b,1972,journal-article,False,Manifestations of atherosclerosis,https://doi.org/10.1001/jama.222.4.488b,2018-06-19T03:34:17.409395,American Medical Association (AMA),"[{'given': 'R. C.', 'family': 'Brown'}]",JAMA: The Journal of the American Medical Association
10.1001/jama.254.17.2440,1985,journal-article,False,A Health Policy Agenda for the American People. Phase I: The principles,https://doi.org/10.1001/jama.254.17.2440,2018-06-18T11:21:29.432188,American Medical Association (AMA),"[{'given': 'B. E.', 'family': 'Balfe'}]",JAMA: The Journal of the American Medical Association
10.1001/jama.259.7.1056,1988,journal-article,False,Herpes simplex encephalitis in a patient with lymphoma. Relapse following acyclovir therapy,https://doi.org/10.1001/jama.259.7.1056,2018-06-19T10:06:41.626887,American Medical Association (AMA),"[{'given': 'A. L.', 'family': 'Rothman'}]",JAMA: The Journal of the American Medical Association
10.1001/jama.261.2.243,1989,journal-article,False,Comparison of critical care by family physicians and general internists,https://doi.org/10.1001/jama.261.2.243,2018-07-20T13:05:46.566126,American Medical Association (AMA),"[{'given': 'R. W.', 'family': 'Carlson'}]",JAMA: The Journal of the American Medical Association
10.1001/jama.263.22.3057,1990,journal-article,False,Treatment of photoaged skin with topical tretinoin increases epidermal-dermal anchoring fibrils. A preliminary report,https://doi.org/10.1001/jama.263.22.3057,2018-06-18T23:09:27.027034,American Medical Association (AMA),"[{'given': 'D. T.', 'family': 'Woodley'}]",JAMA: The Journal of the American Medical Association
10.1001/jama.267.11.1495,1992,journal-article,False,Cholera in the Americas. Guidelines for the clinician,https://doi.org/10.1001/jama.267.11.1495,2018-06-19T10:04:51.902541,American Medical Association (AMA),"[{'given': 'D. L.', 'family': 'Swerdlow'}]",JAMA: The Journal of the American Medical Association
10.1001/jama.274.7.539,1995,journal-article,False,HDL cholesterol predicts coronary heart disease mortality in older persons,https://doi.org/10.1001/jama.274.7.539,2018-06-19T10:04:39.771131,American Medical Association (AMA),"[{'given': 'M. C.', 'family': 'Corti'}]",JAMA: The Journal of the American Medical Association
10.1001/jama.284.12.1515,2000,journal-article,False,Origins and Consequences of Vascular Calcification,https://doi.org/10.1001/jama.284.12.1515,2018-06-19T10:06:41.637798,American Medical Association (AMA),"[{'given': 'A.', 'family': 'Farzaneh-Far'}]",JAMA: The Journal of the American Medical Association
10.1001/jama.287.9.1184-jms0306-7-1,2002,journal-article,True,Identification/Chief Complaint,https://doi.org/10.1001/jama.287.9.1184-jms0306-7-1,2018-07-23T14:03:05.743003,American Medical Association (AMA),"[{'given': 'Matthew', 'family': 'Ehrlich'}]",JAMA
10.1001/jamaneurol.2014.4563,2015,journal-article,False,Rapid Eye Movement Sleep Behavior Disorder and Neurodegenerative Disease,https://doi.org/10.1001/jamaneurol.2014.4563,2018-06-16T19:03:06.555095,American Medical Association (AMA),"[{'given': 'Michael Joseph', 'family': 'Howell', 'affiliation': [{'name': 'Department of Neurology, University of Minnesota, Minneapolis'}]}, {'given': 'Carlos Hugh', 'family': 'Schenck', 'affiliation': [{'name': 'Department of Psychiatry, University of Minnesota, Minneapolis'}]}]",JAMA Neurology
